username,ulasan,rating,tanggal
Syafiq Anam,mantap,5,2026-03-16 01:37:09
New Sport Cars,"commuter line Dhoho lewat Kertosono tambahin lah, masa pesen tiket jam 00:00 ga sampe 5menit udah habiiss semua. atau tambahin yang bisnis. rutenya jauh loh padahal masa ga ada klas bisnisnya",1,2026-03-16 01:14:44
Yeyen Yazid,simple dan lengkap aplikasinya. The best,5,2026-03-16 00:28:17
Vionika,aplikasi GJ sering eror udh nunggu tiket dari sebulan sebelumnya tau2 udh habis pdhl di pantengin tiap hari malah fokus ngasih ke calo kalau ga niat jual tiket mending hapus aja aplikasinya ngapain bikin aplikasi kalau ujung2nya banyak di kasi ke calo,1,2026-03-16 00:16:08
Warung Kopi,hadeh eror trs,1,2026-03-15 22:31:35
Ariani Ratna Dewi Syarif,praktis banget 🥰🥰,5,2026-03-15 20:46:28
Afrisyah Ayu,agak eror dikit,3,2026-03-15 20:12:10
Az Zahro Waani,"sekarang susah liat sisa kursi atau cek ketersediaan jadwal kereta, kosong pas di cek.. padahal lagi bener bener mau mantauin buat mudik 🥲",3,2026-03-15 19:56:37
Gisuya Store,Tiket tidak Transparan.,1,2026-03-15 19:22:49
Alfarez akbar (Al),"Pliss tambah fitur aktifkan notifikasi tunggu tiket tujuan yang ingin dibeli yang sudah habis sudah tersedia kembali kalo ada orang yang tiba"" cancel, kalo udah ada fiturnya aku tambah jadi bintang 5 🙏🙏",4,2026-03-15 18:59:42
Inandra Chanel,lemot,2,2026-03-15 18:16:47
satria naga,"KAI Acces tidak siap buat pesanan awal hari, diatas jam 00:05 aplikasi hang",1,2026-03-15 18:01:04
Takeuchi Hanz,"apk rusak giliran war tiket invalid server, waktu bisa beli jadwal dan tiket sudah hbis, gk jls banget",1,2026-03-15 17:48:16
Vika Deviana,"Entah HP aku yg kurang bagus atau aplikasi nya karna setiap beli tiket lokal bela""in bangun tengah malam tetep gak bisa dapet tiket selalu muncul no aset available atau gak eror kenapa ya",1,2026-03-15 17:47:38
Nurlista DwiApriliana,APK GAJELASS!!! KALO UDAH TAU YG LOKAL TUH BANYAK YG NYARI DITAMBAH JADWALNYA ATAU GERBONGNYA!!! UDAH WAR JAM 00:00 MALAH LOADING DOANG!! PAS DITANYA CS NYA MALAH SURUH NUNGGU 1 JAM KEDEPAN!!! YA GAK DAPET TIKET DONG DONGO!!! PERCUMA GW BANGUN JAM SEGITU WAR TIKET!!! AANJENG!!!,1,2026-03-15 17:44:30
Andaru maulana,sangat sulit buat pean tiket,1,2026-03-15 17:39:22
no name,"sngat lemot .aplikasi mkin lama mkin susah bgt.mkin aneh.smpk bela""in g tdr cti tiket mudik mlah error trs.akhrnya g dpt.tba"" selang sejam 01:00 bru bisa kebuka tp sdh hbis.bner"" jgnkel.knpa sih g diberlakukan beli tiket manual aja kyk dlu.",1,2026-03-15 17:28:45
Krida Rizki,sangat buruk susah buat daftar,1,2026-03-15 17:28:32
M. Farid Mubarok,"saya gagal mudik gara gara ini, udah 3 hari udah dua perangkat pesan tiket sama aja zonk.",1,2026-03-15 17:22:39
Febriyanti Ar,"di waktu krusial tiba tiba jadwal kereta tidak tersedia, padahal udah siap siap war... enaknya pakai access karna sudah simpan data penumpang dan bisa langsung pesan pulang pergi,, tapi karna sering down di waktu krusial, terpaksa pesan lewat booking.kai.id yg harus ngetik data pemesan dan tdk bisa pulang pergi.... semoga server ditingkatkan lagi supaya tidak down ketika customer mau war tiket",4,2026-03-15 17:20:00
last spike,"Ni apk klo pilih kursi terus kembali kenapa masuk ke pembayaran, dan harus nunggu 5m pembayaran yg ga ada kode bayarnya woioi",2,2026-03-15 17:16:12
Fredyanto wiguna,sangaat2 responsif.....,5,2026-03-15 17:14:25
Ismi F,keren,5,2026-03-15 17:05:05
M.aidi Kurniawan,"sumpah ni aplikasi tidak berguna, setiap mau pesan tiket gak pernah dapat, banyak calo/mafia jadi sebatas formalitas saja, wkwk konoha2",1,2026-03-15 17:04:55
Rizky Ramadhan,JosJissss,5,2026-03-15 17:02:10
Tri Widodo,Kecewa dengan proses refund tiket yang berbelit hanya karena kesalahan nama tanpa spasi,1,2026-03-15 16:06:58
Arifin AP,mantaaabb,5,2026-03-15 15:37:02
Siti Sapuroh,that simple tidak perlu antri:),5,2026-03-15 14:22:02
vika adib,sangat membantu jadi permudah kita dalam perjalanan,5,2026-03-15 14:20:51
Zain Habqie,matap,5,2026-03-15 14:19:18
TSIDKENU sindoro,GANTI MENHUBNYA,1,2026-03-15 14:19:15
Daffa Khisnu,istri saya pesan gagal tapi transaksi pembayaran sdah masuk di akun pembayaran KAI ... bagaimana tanggung jawab KAI.. ???? sdah di chat tapi AI yang jawab dan tidak ada kejelasannya...,1,2026-03-15 13:59:30
Ferry Rizka,good,5,2026-03-15 13:51:29
Ega Indra Praja,"jadwal kereta tidak tersedia. saya lebih suka, semua yang berhubungan dengan publik biar dikelola swasta aja. rakyat cape ngasih tau mulu, yg ga perlu dikasish tau. bare minimum aja ga ngerti2. cape. gumoh. masa beli tiket gini doang eror, kalah sama primajasa sm budiman. ah elah.",1,2026-03-15 13:36:15
Julia Avionanda,kok GK bs ya pesan kereta api nya,3,2026-03-15 13:24:26
Fadlan Hasibuan,SUSAH KALI MAU UPGRADE member basic,1,2026-03-15 13:04:40
Andri oioi,download,5,2026-03-15 12:53:08
Dwian latipulati,"kai kenapa sih, posisi urgent mau pulang malah ga muncul tiketnya, padahal jaringan juga full, gaada kendala apapun",3,2026-03-15 12:39:09
Agata Chan,"ga jelas, cek tiket lewat web ada jadwal, tapi cek lewat aplikasi malah ga ada jadwal",1,2026-03-15 11:38:48
Brayy (Mas Bro),"apk KAI ketika arus mudik lebaran kenapa selalu error yaaa ?? saran untuk developer tolong cepat di perbaiki dong, saya sebagai customer setia KAI merasa kesulitan menggunakan apk kalau begini..",3,2026-03-15 11:29:32
Hany Mahmudhi,sangat baik pelayanan,5,2026-03-15 11:13:05
Anna,Good,5,2026-03-15 11:11:48
Umar Tea,gak bisa pake ewalet,2,2026-03-15 09:54:08
tondi rahmad,cepat,5,2026-03-15 09:49:42
Bambang Indonesia,aku lupa password akunku sdh aku klik lupa password tetap nggk bsia,1,2026-03-15 09:29:50
Fadila Angkasa,top,5,2026-03-15 07:31:10
Irsad Bungsu,sangat praktis,5,2026-03-15 06:37:38
Flutter Shy,ganggu bet mau pesan tiket banyak pop up yg muncul,1,2026-03-15 06:02:04
Bayu Priadi,kenapa refund tiket harus ke bank BRI sedang kan saya hanya punya mandiri terus kalo bukan bank tidak bisa diproses dan itu pun harus 1 KK coba klo dalam 1 KK tidak ada yg punya bank BRI bagaimana di perbaiki lagi sistem nya,2,2026-03-15 05:31:57
Prima Indera,bug kadang,1,2026-03-15 05:30:19
Zae Keyboard,gbisa d download,1,2026-03-15 05:16:33
Xinder kzura,gabisa di instal,2,2026-03-15 04:33:18
Krishna Eka Surya Septyanto Virdaus,aplikasi enak gk ribet,5,2026-03-15 04:24:27
Dony Felany,ok lah,5,2026-03-15 04:20:37
Abizard Muttaqi,oke bagus,5,2026-03-15 03:12:06
Sigit Setyawan,terimakasih,5,2026-03-15 02:13:49
Edy Suroso,bagus,5,2026-03-15 02:04:41
Pongky Kurniawan,"aplikasi gk guna,,muter muter mulu,,hapus aja dah",1,2026-03-15 02:04:30
Hok09 Asik,"Tidak bisa cetak e boarding pass, padahal sudah 2 jam sebelum keberangkatan dan terus saya coba sampai 5 menit keberangkatan tidak juga bisa cetak e boarding pass. Alhasil saya di marahin sama petugasnya, karena ""kesalahan"" saya yang ga bisa cetak boarding pass. Aplikasi sudah update, tiket sudah bayar. Ga tau apa yang salah, mungkin saya emang tolol dan bodoh dan sudah sepantasnya di marah marahi dan di caci maki oleh petugas yg maha benar itu",1,2026-03-15 01:26:46
Wiwik Sumaryati,kok nggak bisa instal aplikasi kai acces,5,2026-03-15 00:54:08
Melani Cahya rahayu,"aplikasi nya lumayan baguss, tapi pelayanan nya kurang, setiap mau mengajukan komplen atau bertanya balasannya "" ketik N untuk tidak ketik Y untuk melanjutkan"" kenapa gtu ga langsung balas aja? saya lebih baik menunggu lama tpi ada balasan, dripda balasan otomatis seperti itu.",4,2026-03-14 21:46:46
prie yanto,Sangat mempermudah pemesanan tiket KAI,5,2026-03-14 21:44:23
Uci Sanusi,dengan KA lokal adalah alat angkutan yg murah meriah,5,2026-03-14 21:25:29
Ayu Wp,kai tolong itu apknya buggg trsss saya mau pesan tiket pun tdk bisa eror tolong dong diperbaiiki,4,2026-03-14 21:11:12
Teh Etin,mantap,5,2026-03-14 20:47:45
Yusril OFFICIAL,ini bagus banget effisien untuk trip dan apapun ditambah lagi saya railfans jadi tau loko dan stasiun depo juga,5,2026-03-14 20:26:26
Gumer Riyanto,aplikasi taii mau beli tiket ngaak bisa bisa tiba tiba sudah habis aja bangsaaat!!!!! Al hasil nggak dapat tiket hari ini mana tengah malam pula waktu nya orang tidur dari dulu nggak pernah berubah bener bener kecewa 😡😡😡😡,1,2026-03-14 20:00:28
Nisa Azifatil,"apknya suka eror, udah siap² dari awal nungguin jadwal nya di buka malah pas mau bayar eror, pas mau pesen lagi malah ada aja kendala nya , pdhal sinyal enak, dan tiba tiba bnget pas liat jadwal malah g muncul apa², aku tungguin lama² lah ternyata udh habis , apk nya ngeprank bngt yh, hatiku brisik bngt karna apk ini , g jadi mudik anjir, kecewa bngt knpa apk nya makin lama makin gini sih, yg sini setia menunggu yg di tunggu loading trs eh ternyata sdh habis, NGEPRANK NYA ITULOH NGEPRANK BANGET",1,2026-03-14 19:19:49
Semoga Langgeng,pencarian lambat terkadang tidak bisa untuk selanjutnya Sampek karcis habis padahal sudah dari awal jam Sampek karcis habis mohon diperbaruhi tempat karcisnya diperbanyak.,4,2026-03-14 19:05:59
Samsul Hadi,"rugi pesan jm00 aplikasi error, keluar trs masuk lagi kursi sudah habis.. lain kali sediakan kereta premium tambahan sprt lebaran th 2018",1,2026-03-14 18:31:46
Pikolo Gaming,"apk gak jlas.. saya sdah standby smpek jam 00.00 mau psan tiket kereta buat kberngkatan tanggal 22 kok gak bsazdi cobak brkali2 loding muter2 mulu,ada psan server eror dll. ahkirnya tdak kbgian tiker kreta api. mohon penjelasannya ini,bgaimana ! di chek lgi sdah hbis... mau psan tiket aja di ruwetin bgini ! mksih. mohon responnya",1,2026-03-14 18:31:20
Theo• •Angga,"aplikasi sangat menjengkelkan,saat war tiket dijam 00.00 selalu not responding alhasil kebagian tiket tanpa tempat duduk semoga lekas diperbaiki KAI access #BadApk",1,2026-03-14 18:18:22
Sri Wulandari,respon kurang cepat,5,2026-03-14 18:14:21
Bila Ns,"mau war loading trs pdhl sinyal jaringan aman refresh brkali"" ttp aj loading ntar pas bisa ket nya tersedia eh pas pesen gabisa"" kalo emg udh abis jngn kasih ket tersedia min biar ga cape"" ngewar kalo ujung"" nya tiket habis semuaa dn gadapet",1,2026-03-14 18:12:32
Aulia salsa,luemottt banget padahal jaringan oke tepi dari sananya susahh pesen tiket aja susahh banget,1,2026-03-14 18:12:23
Imroatu Athi'illah,aplikasi mengecewakan dibelain melek tetep aja munyer2 alhasil g kebagian,1,2026-03-14 18:08:26
Sudar Sono,pas waktu di butuhkan lelet,3,2026-03-14 18:06:07
Akbar Rizky,"loading dan server down yang selalu menggangu pengguna, 1 jam buat booking waktu pembayaran malah close ke home, tolong lah 3 tahun begini kaga ada pembaharuan",1,2026-03-14 18:03:40
En R03,"jadwal kereta tidak mau muncul, pas muncul katanya masih tersedia tanpa kursi malah gk bisa dipesan padahal data sudah sesuai semua selalu invalid tiap mau pesan atau malah keterangannya no seat sehingga tidak bisa di pesan padahal di jadwalnya masih tersedia",1,2026-03-14 18:01:50
Hira Hayu,"war dari jam 00:00, aman semuanya tapi lemotnya nauzubillah, loading teruuuuuus udah masuk pembayaran ga muncul2 qris nya kan bangke !",1,2026-03-14 17:59:00
Abdul Aziz Arrantisi,tolong lah KAI ini apknya mau war tiket ga bisasistem siatam tolong lah,1,2026-03-14 17:58:14
Garing Ring,"Saya sebel waktu pemesanan tiket di jam 00:00 selalu aja di tolak terus sama sistemnya invalid lah segala macam lah, dan sampe saya tunggu 1 jam hasilnya masih sama aja eror dan itu saya jadi ga bisa naik kereta sebel banget mohon diperbaiki Maslaah tersebut min terimakasih🙏🏻",1,2026-03-14 17:57:42
Winzarts Kmb,server aplikasinya gk bisa handle trafic yang tinggi setiap saya ingin melakukan pembelian aplikasi selalu menggunakan server is not available lalu setelah setengah jam tiba-tiba jadi no seat available padahal saya adalah pengguna aplikasi ini dari tahun 2019 kalau ini tidak bisa di tangani saran saya kembalikan saja pembelian tiket secara offline seperti dulu percuma saya tidak bisa mudik karena selalu kehabisan tiket,1,2026-03-14 17:47:08
KHUSNUL KHOTIMAH,"sering kali naik kereta api Malang Blitar, PP. hemat dan nyaman",5,2026-03-14 17:43:25
Clarinda Ega,"masa tiap jam 1 server soak terus, di upgrade lah padahal uang udah banyak masa ga mau upgrade servernya",1,2026-03-14 17:40:56
fillia sanjaya,"gajelas,banyak errornya perbaiki dulu yang benar!",1,2026-03-14 17:36:36
Andy Tri Wijayanto,"percuma ada aplikasi ini, sdh war tiket lokal pas jam 00, server error, tiket gk bisa diakses, beli tiket kayak antri sembako aj, sangat mengecewakan :(",1,2026-03-14 17:35:24
Muhammad Fajar Kurniawan,lemot jam 12 malam ga jelas,1,2026-03-14 17:30:06
Sri Ali,aplikasi lemot di klik malah gkeluar jadwal kereta dari tahun ke tahun tetap saja nggak ada perbaikan,1,2026-03-14 17:29:15
Ahmad Thoriqul Aziz_02,"Semakin di-update semakin turun kualitas aplikasinya, sering error Mulu padahal lagi perlu. Lebih baik gak usah ada update kalau kualitas dari aplikasinya makin turun. Mengecewakan!!!",1,2026-03-14 17:29:13
LOL Syahrul,aplikasi sering loading lama,1,2026-03-14 17:27:40
님압딜라,server gampang drop,2,2026-03-14 17:27:18
Risfan Effendi,"udah update bukannya tambah bagus malah tambah lelet, udah setting tanggal,penumpang,stasiun awal-tujuan malah error error, cs nya juga lelet, haduh haduh.",1,2026-03-14 17:26:55
Dimar Firstian,"server error mulu, benerin",1,2026-03-14 17:26:39
Rice Dwi ps,knpa boarding pass nya gk kluar ya??,2,2026-03-14 17:23:59
Muhammad Maulana,"beuh call center e-mail bener"" mantap satset sukses selalu KAI",5,2026-03-14 17:22:38
ima wahyu,"saya buka tepat jam 00.00 di pergantian hari,tapi di keterangannya jadwal tidak tersedia.sampai 15 menit otak Atik tetep aja.tolong perbaiki aplikasinya.",1,2026-03-14 17:22:07
Jenu Wulandari,"perbaikin lagi sistemnya kebanyakan loading, mau war tiket malah kaga nongol padahal sinyal aman bat laporan ribet",1,2026-03-14 17:20:17
Fariz Bintang,BOSOK,1,2026-03-14 17:20:11
Abu Sodri,Mantap,4,2026-03-14 17:17:44
REV Raptor,di buat war tiket server invalid truss payahh.,1,2026-03-14 17:15:59
Zull Reza,aplikasi lelet,1,2026-03-14 17:10:09
Andiq Riyanto,bagus sangat membantu dan mempermudah dalam pemesanan tiket,5,2026-03-14 17:05:28
Ricky Pratama,beli tiket mudah,5,2026-03-14 16:41:02
Angga Dwi,sangat membantu ..perjalanan,5,2026-03-14 16:39:49
Munica Tri Utami,kenapa si eror muluuuuuuuuuu,4,2026-03-14 14:37:58
Mursyid Muslich,siip,4,2026-03-14 14:21:32
rivaldy haldianto,"Bagus, semoga konsisten yaa",5,2026-03-14 14:17:28
cahyo lazuardi,"update yg br makin lancar apanya min...lah wong msh suka error...masa utk lihat kereta yg sudah hbs gk muncul,padahal jaringan bgs n lancar...apalagi nyari batalan tiket susahnya setengah modar gk seperti dulu...blm lg semua tanggal gk ada yg d jual tiketnya utk kereta antar kota,masa hbs semua d setiap jadwal...yg d update apanya min?!",5,2026-03-14 13:15:14
Gideon Nanda Wicaksono,"bukti pembayaran tidak bisa,padahal itu penting",1,2026-03-14 13:06:46
aditianurul08,potongan terlalu gede kalo batalin tiket,2,2026-03-14 12:53:13
Yoyok Suyoko,mudah efisien efektif dalam pemesanan tiket,5,2026-03-14 12:40:56
sukiriyanto yanto,KAI memang dihati.. pelayanan mudah perjalanan jadi indah,5,2026-03-14 11:20:25
Siti nurayani Ariyani,saya puas pakai kai,5,2026-03-14 10:42:38
Purwadadi,good,5,2026-03-14 07:23:18
Santoso Toso,muantaaaaap,5,2026-03-14 06:47:25
getak mumbul,sangat kecewa dengan apk ini. mau cari tiket selalu tidak tersedia TPI coba di apk lain ada tiket dengan tujuan sama kenapa di KAI ACCESS GK ADA JADWAL NYA MOHON UNTUK DI PERBAIKI,1,2026-03-14 06:46:40
Ari Sobirin9,"akhir akhir ini sring ga refresh , smnjak d kosongin kalo pesan , pdhal kalo cek d chanel lain masih banyakk , sebaiknya kereta yg udah abis juga di tampilkan aja , jadi kesannya ga sering blank doang kaya skrang",1,2026-03-14 05:39:00
Zaky Store,aplikasi selalu lelet kalo buka dan mau beli tiket lokal gak ada evaluasi,1,2026-03-14 05:14:51
Airin Imoet,"Disuruh update tapi gak bisa,",5,2026-03-14 05:14:44
Alifian Septyo Nugroho,"gagal terus masukin kode otp, padahal penting, jadi ga jadi pesan tiket di hp sendiri harus lewat orang lain",1,2026-03-14 05:11:07
Herman Herman,bagus,5,2026-03-14 05:04:42
Dadang Dadang,good...,5,2026-03-14 04:43:41
Budi Rustanto,system nya sangat mudah,5,2026-03-14 04:22:55
woles bro,"duitku raib gara2 KAI, aduh lemotsi KAI ga jelas",1,2026-03-14 04:22:37
Ana Yuliana,kenapa nggak bisa log in pas mau daftar lagi katanya lagi gangguan gmna ini,1,2026-03-14 03:41:33
Ahmad Anwar,mudah dalam pemesanan tiket kereta,5,2026-03-14 03:28:57
AA Hakim,kok aplikasinya kadang2 agak eror ya kadang ada tiket kadang juga hilang,5,2026-03-14 03:20:14
lili Aliadin,"semoga pelayanannya terus ditingkatkan tanpa membedakan kelas, karena yg dilayani adalah warga sendiri, warga negara indonesia",5,2026-03-14 02:59:32
Yulis Tio,baik,5,2026-03-14 02:18:27
AHMADI ahmadi,baik,5,2026-03-14 02:12:21
Bram Sumantri,"Sudah instal KAI Access, mau update ke member Basic, data sudah diisi, OTP juga diterima dan langsung isikan, eh loading terus sampe habis batas waktu 2 menit. Sudah coba 7 kali, gagal selalu. Ada yang tau kenapa?",2,2026-03-14 01:37:34
Hafidz,"aplikasi error,gak layak sering down",1,2026-03-14 00:45:31
Toto Taofikhidayat,mantap cuman jangan ad pelayanan dengan alasan jaringan. pake aiti yg amanah.,5,2026-03-14 00:44:35
farhan mubarok,"kenapa g ada tempat duduk, bukannya dahulu sudah rapi, ini jadi berebutan lagi",5,2026-03-14 00:36:22
Reza D. Subangkit,"bagus, memudahkan, tapi sering pemeliharaan. semoga ada perbaikan kedepannya. sukses bersama selalu",4,2026-03-14 00:10:26
Andi Subtra,aplikasinya ruwet susah,1,2026-03-13 22:35:06
Imam Sopandi,mengurangi antrian di St.,5,2026-03-13 22:30:47
Eren Ntu Rena,min kenapa kai acess hri ini tidak bisa masuk ya,1,2026-03-13 22:00:37
Iis Isna,"zukhaaa dengan aplikasi ini, sat set. bisa beli tiket di mana saja dan kapan saja",5,2026-03-13 21:50:14
hori khuma,SUSAH DI AKSES,1,2026-03-13 20:35:22
Kipli Adi,bagus,5,2026-03-13 19:34:41
Adisetya Putra,apk lemot,1,2026-03-13 17:30:24
mharis firmansyah10,Sudah bayar hingga 2× tetapi tiket malah hangus dan uang tidak kembali,1,2026-03-13 17:21:35
Tupan Damanik,aplikasi cepat,5,2026-03-13 17:09:11
Ayooobz Nuriyanto,Praktis dan ekonomis,4,2026-03-13 17:04:48
robi yanto,udh ikut war dari 23.59 sampai 00.00 kok anehnya semua rute langsung habis ya. tujuan Rangkasbitung merak aneh sih,1,2026-03-13 17:02:39
Irman Maulana,muantapp,5,2026-03-13 17:02:14
zuan pramuryanto,KERRENN BANGET KAI. SEMANGATT,5,2026-03-13 15:19:13
Renzzz,apk kebanyakan maintenance,1,2026-03-13 14:22:03
Sofyan Adifullah,"karyawan ga becus, saya sudah order makanan dari jam 5 sore saat puasa sampai jam setengah 10 malam ga di kasih kasih",1,2026-03-13 14:15:00
Anjar Padcay,"Perbaiki bug nya !! Ketersediaan tiket tidak konsisten/stabil. Sebelumnya dicek ada, beberapa saat kemudian tidak ada. Setelah restart muncul lagi ketersediaannya, tapi waktu back menu sebelumnya terus cek lagi hilang lagi. Aneh.....🤦🏻‍♂️🤦🏻‍♂️",1,2026-03-13 13:58:21
MAHDYARI,"tolong tambahkan info rute semua kereta, agar tau harus naik darimana jika ingin ke tujuan tertentu, seperti aplikasi bus suroboyo",5,2026-03-13 13:47:28
Patriot Budi Prayitno,Menu Railfood udh bagus bisa pesen online..TAPI DIANTERNYA NAUDZUBILLAH..LAMA..mending hapus aja fitur railfoodnya.,3,2026-03-13 13:43:23
yogi dwiputra,mantap,5,2026-03-13 12:59:26
tiwii pratiwi,"TOLONG INI KAI, KENAPA EROR TERUS. INI SAYA MAU MUDIK JADI BINGUNG!!",1,2026-03-13 12:52:09
Okto Yumantoro,proses pengembalian dana sampai 7 hari?,1,2026-03-13 12:24:33
SATRIA,"KALIAN SEGITU BANYAKNYA STAFF DAN PEGAWAI, NELFON KE CS DOANG GADA YG ANGKAT. SISTEM MAU BATALKAN TIKET SAJA DIPERAULIT..INI KENA BADAI SY..MAU AJUKAN RESCHEDULE.. MALAH CS NYA NGILANG , PADA GA NIAT KERJA APA?!!! INI LG FITUR CHAT WA MAKE ROBOT BUAT APAAN, GA GUNA...COSTUMER SERVICE KO KAYA GINI. HERAN...HANGUS TIKET GUA ..GILIRAN KAI YG ADA KENA BENCANA MAEN CANCEL TIKRT PENUMPANG..GILIRAN PENUMPNG MAU CANCEL TIKET DIPERSULIT..KOCAK ??!!",1,2026-03-13 11:42:08
Matusin,"APK YANG KETIKA PENGGUNANYA RAME ATAU SEDANG WAR DISURUH GANTI GANTIAN PESANNYA (CONECTING TRAIN), GANGGUAN TERUS TAPI GAADA PERUBAHAN DAN PERBAIKAN",1,2026-03-13 11:40:08
Edi Poerwantoe,good,5,2026-03-13 11:28:33
Wara Hapsari,"aplikasi terjelek sejagad raya, pemilihan pembayaran tidak bisa dilakukan.Tabah lama tambah jelek aja, dulu nggak masalah sekarang ampun dah. Dan pembayaran terlalu cepat kadaluarsanya Masa iya sih harus ke stasiun dulu buat beli tiket... kembali ke jaman batu",1,2026-03-13 10:26:03
Wahyu Triwibowo,mantab,5,2026-03-13 09:52:18
Hafiz S. Hum. S. Psi,tidak upgrade and daftar,1,2026-03-13 08:30:13
gunawan gunawan,mudah,5,2026-03-13 07:52:08
Andri Iryansyah Saputra,"Hp aman, jaringan bagus, tapi Loadingnya kaya maen RDR 2 di ps 3... lama banget parah. menghambat banget ni apk",2,2026-03-13 07:51:00
Imna Muhtalami,terimksih kai skrg lebih mudah,5,2026-03-13 07:50:17
Faqiih Wafaa,josjis,5,2026-03-13 06:26:32
Fajar Ahmad,kok gak ada pergantian jadwal ticket padahal sudah di menu ticket mana kalau mau pergantian jadwal di stasiun jauh hadeeh...,1,2026-03-13 06:10:30
Iin Nur Anita Arimbi,sangat memuaskan,5,2026-03-13 05:04:24
zhraarask,"gimana sih ini pembayaran e wallet nge lag banget, tolong dong",1,2026-03-13 04:51:13
Eva Wardy,sangat memudahkan penumpang,5,2026-03-13 04:29:10
AllYouKnow,"aplikasi rusak! loading screen tidak mau hilang, padahal internet sedang bagus, kalau mau bikin aplikasi anggaran nya dipakai semua tol*l, jangan dikorup!",1,2026-03-13 04:24:57
Tri Winarsih,sangat mudah dan nyaman.,5,2026-03-13 03:19:59
Anwar Syah,"lewat acces KAI , pembatalan tiket lebih mudah nga perlu repot ke stasiun, thanks",5,2026-03-13 00:45:06
ryo ichirou,"memudahkan informasi mengenai jadwal, pengecekan dan serta pembelian tiket KAI. menjadikan lebih efisien waktu",5,2026-03-13 00:26:00
pandu,"untuk Kereta lokal Penataran Surabaya-Blitar via Malang apa tidak bisa di tambahi lagi durasi pemesanan semisal 10 hari kedepan gitu, masa cuma 7 hari lagi keberangkatan di jam 06.00 tiket sudah habis semua",5,2026-03-12 22:55:35
Julian Rahmat,bisa gak kalau apel yang seragam hijau di stasiun serpong itu tidak menghalangi akses ke tempat parkir motor? macem yang punya wilayah. MENGHALANGI JALAN YANG LAIN.,1,2026-03-12 22:53:15
Lasmi Sarnobudi,sangat bagus 👍,5,2026-03-12 21:46:44
Candra 12,"kenapa ya terkadang saat cek tiket masih ada keberangkatan di beberapa hari, lalu refresh tiba² tertulis jadwal keberangkatan tidak tersedia di semua waktu yang ada",3,2026-03-12 21:06:16
MUCH. ALDI FIRMANSYAH,"makin jelek, dulu bagus",1,2026-03-12 20:48:46
Keyshawn Miles,"kirain pas nyambungin akun e wallet kesini bisa buat bayar tiket kereta, ga tau nya ga bisa sama sekali",2,2026-03-12 18:00:22
Lennin Putri,pelayanan ramah doang ga membantu,1,2026-03-12 17:20:46
Rey Kyrksen,sistem menjadi sangat jelek ketika dibutuhkan,1,2026-03-12 17:15:36
MHAR,Waduh gak bisa pesan tiket gara-gara keluar dari pembelian. pas mau masuk gak bisa batalin . Ini gimana IT nya?,1,2026-03-12 17:11:43
Zea Arsy,ok,5,2026-03-12 17:10:37
Muhammad Yunus,praktis dan bisa pesan 6h sebelum keberangkatan.,4,2026-03-12 17:03:52
Betty Puspitasari,"saya membeli tiket prameks melalui kai acces dan membayar lewat qris bca dan gopay,, semua sudah berhasil namun kenapa tiket sya tidak berhasil melalukan pembayaran dan hangus ,jadi sudah kepotong biaya 3x gak ada 1 pun tiket yg berhasil .",1,2026-03-12 16:27:09
Hery Setyawan,bagus cepat,5,2026-03-12 14:01:27
Aji Khun,terimakasih,5,2026-03-12 13:48:40
Fakhrudin Panel,perjalanan semakin nyaman dg KAI,5,2026-03-12 13:38:04
Arga Avrilia Putri,"baikk cepat, simpel",5,2026-03-12 13:09:11
ariya yonda,"ini kenapa untuk payment ngga bisa, banyak opsi payment tp eror semua",1,2026-03-12 12:50:22
Setiawan Herdiana,Semoga gak gangguan saat Boarding di Stasiun,5,2026-03-12 12:18:56
achmad oi,"mahal amat biaya adminya top up 50k masuk 47,500,mending bayar lewat qris dari pada top up🤣🤣🤣",2,2026-03-12 11:42:25
Mochammad Safirin,saya suka amplikasi ini,5,2026-03-12 10:46:47
Fary Aditya,bagus banget,5,2026-03-12 10:44:04
Mas Darno,"Perjalanan menyenangkan dan Aman, krn sdh didukung lingkungan yg bersiĥ, teratur dan nyaman.",5,2026-03-12 10:22:07
Ghifar,"saya udah pesen tiket buat mudik. sekarang saya mau pesen lagi tiket buat baliknya tapi loading Mulu connect, padahal sinyal bagus tolong benerin. mau lebaran apk malah eror gajelas benerin pada niat kerja ga?. kalo tiket abis yang kasih tau tiket abis ini malah kadang muncul jadwal keretanya trus beberapa menit kemudian ilang lagi connect",1,2026-03-12 08:46:56
roy hardiansyah,baik,5,2026-03-12 08:34:06
Sofiatul Mubarokah,makin sini makin aneh nih apk. masa mau beli tiket gak muncul terus,1,2026-03-12 07:25:28
Imam Riyana,mqntap,5,2026-03-12 07:00:23
Darwati Susilastuti,oke,5,2026-03-12 06:38:28
Kanaya;3,"Aturan pembatalan yang mewajibkan rekening harus atas nama penumpang itu menyulitkan. Banyak tiket dibeli orang tua atau kerabat, apalagi kalau penumpangnya masih anak dan belum punya rekening. Mohon dipertimbangkan agar pengembalian bisa ke rekening pembeli tiket, bukan hanya atas nama penumpang. Terima kasih.",2,2026-03-12 05:06:06
Nur Afina Julia Larasati,sistem lambat sering eror,2,2026-03-12 04:53:02
